,"Date","Num","P. O. #","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Item","Open Balance","Inventory Site"
,"09/30/2025","POD-251383",,"Neousys Technology Incorp.","Neousys Technology Incorp.","PCIe-PoE352at  2-Port x4 PCI-E GigE PoE Frame Grabber card with Intel I350-AM2 server-grade cont...","10/15/2025",10,0,10,1420.00,"Frame Grabber Card:PCIe-PoE352at",1420.00,"WH01S-NTA"
"Total PCIe-PoE352at",,,,,,,,10,0,10,1420.00,,1420.00,
"PCIe-PoE354at-1",,,,,,,,,,,,,,
,"08/15/2025","POD-251164","SO-20251167","Dexterity, Inc.","Neousys Technology Incorp.","PCIe-PoE354at-1  4-Port x4 PCI-E GigE PoE Frame Grabber card with Intel I350-AM4 server-grade co...","10/01/2025",1,0,1,147.00,"Frame Grabber Card:PCIe-PoE354at-1",147.00,"WH01S-NTA"
"Total PCIe-PoE354at-1",,,,,,,,1,0,1,147.00,,147.00,
"PCIe-PoE550X",,,,,,,,,,,,,,
,"09/26/2025","POD-251371",,"Neousys Technology Incorp.","Neousys Technology Incorp.","PCIe-PoE550X  2-Port x4 PCI-e PoE Frame Grabber Card with Intel X550-AT2 10 GigE controller","10/16/2025",10,0,10,2450.00,"Frame Grabber Card:PCIe-PoE550X",2450.00,"WH01S-NTA"
"Total PCIe-PoE550X",,,,,,,,10,0,10,2450.00,,2450.00,
"PCIe-USB380",,,,,,,,,,,,,,
,"08/15/2025","POD-251164","SO-20251167","Dexterity, Inc.","Neousys Technology Incorp.","PCIe-USB380  8-Port USB 3.0 host adapter with 4x independent USB 3.0 controllers","10/01/2025",1,0,1,108.00,"Frame Grabber Card:PCIe-USB380",108.00,"WH01S-NTA"
"Total PCIe-USB380",,,,,,,,1,0,1,108.00,,108.00,
"Total Frame Grabber Card",,,,,,,,27,0,27,5250.00,,5250.00,
"GPU Card",,,,,,,,,,,,,,
"GC-RTX2000Ada-Nvidia",,,,,,,,,,,,,,
,"09/30/2025","POD-251380",,"Neousys Technology Incorp.","Neousys Technology Incorp.","GC-RTX2000Ada-Nvidia  NVIDIA RTX 2000 Ada Generation Graphics Card, PCIe 4.0 x16, 2816 CUDA Core...","10/15/2025",35,0,35,26040.00,"GPU Card:GC-RTX2000Ada-Nvidia",26040.00,"WH01S-NTA"
"Total GC-RTX2000Ada-Nvidia",,,,,,,,35,0,35,26040.00,,26040.00,
"GC-RTX4000SFFAda-PNY",,,,,,,,,,,,,,
,"09/30/2025","POD-251393","A250302","Genoedge Corporation DBA SabrePC.COM","Genoedge Corporation DBA SabrePC.COM","GC-RTX4000SFFAda-PNY  NVIDIA RTX 4000 SFF Ada 20GB GDDR6, 70W  MPN: PNY VCNRTX4000ADALP-PB","10/09/2025",8,0,8,9480.00,"GPU Card:GC-RTX4000SFFAda-PNY",9480.00,"WH01S-NTA"
"Total GC-RTX4000SFFAda-PNY",,,,,,,,8,0,8,9480.00,,9480.00,
"Total GPU Card",,,,,,,,43,0,43,35520.00,,35520.00,
"LTN Series",,,,,,,,,,,,,,
"LTN-452(EA)",,,,,,,,,,,,,,
,"09/18/2025","POD-251337","SO-20251314","Neousys Technology Incorp.","Neousys Technology Incorp.","LTN-452(EA)  2-CH LED controller module supporting overdriving up to 10A and 2x DI.","10/08/2025",2,0,2,382.00,"LTN Series:LTN-452(EA)",382.00,"WH01S-NTA"
"Total LTN-452(EA)",,,,,,,,2,0,2,382.00,,382.00,
"Total LTN Series",,,,,,,,2,0,2,382.00,,382.00,
"Memory Module",,,,,,,,,,,,,,
"DDR3L-4GB-WT18-DL1",,,,,,,,,,,,,,
,"07/25/2025","POD-251059","SO-20251032","Automated Environments","Neousys Technology Incorp.","DDR3L-4GB-WT18-DL1  DDR3L-1866 1.35V 4GB SO-DIMM, operating temperature -40 to 85°C.  MPN: DSL D...","10/22/2025",25,0,25,925.00,"Memory Module:DDR3L-4GB-WT18-DL1",925.00,"WH01S-NTA"
,"07/25/2025","POD-251060",,"Automated Environments","Neousys Technology Incorp.","DDR3L-4GB-WT18-DL1  DDR3L-1866 1.35V 4GB SO-DIMM, operating temperature -40 to 85°C.  MPN: DSL D...","11/19/2025",25,0,25,925.00,"Memory Module:DDR3L-4GB-WT18-DL1",925.00,"WH01S-NTA"
"Total DDR3L-4GB-WT18-DL1",,,,,,,,50,0,50,1850.00,,1850.00,
"DDR4-16GB-32-SM",,,,,,,,,,,,,,
,"05/05/2025","POD-250648","SO-20250640","Neousys Technology Incorp.","Neousys Technology Incorp.","DDR4-16GB-32-SM  DDR4-3200 1.2V 16GB SO-DIMM 0 ~ 85°C.  MPN: SMART ST2046SO410825-SE","10/01/2025",10,0,10,610.00,"Memory Module:DDR4-16GB-32-SM",610.00,"WH01S-NTA"
,"05/05/2025","POD-250649","SO-20250641","Neousys Technology Incorp.","Neousys Technology Incorp.","DDR4-16GB-32-SM  DDR4-3200 1.2V 16GB SO-DIMM 0 ~ 85°C.  MPN: SMART ST2046SO410825-SE","11/05/2025",10,0,10,610.00,"Memory Module:DDR4-16GB-32-SM",610.00,"WH01S-NTA"
,"05/05/2025","POD-250650","SO-20250642","Neousys Technology Incorp.","Neousys Technology Incorp.","DDR4-16GB-32-SM  DDR4-3200 1.2V 16GB SO-DIMM 0 ~ 85°C.  MPN: SMART ST2046SO410825-SE","12/03/2025",10,0,10,610.00,"Memory Module:DDR4-16GB-32-SM",610.00,"WH01S-NTA"
,"09/08/2025","POD-251278","SO-20251260","INFLEXION POINT, LLC","Neousys Technology Incorp.","DDR4-16GB-32-SM  DDR4-3200 1.2V 16GB SO-DIMM 0 ~ 85°C.  MPN: SMART ST2046SO410825-SE","09/24/2025",20,0,20,1640.00,"Memory Module:DDR4-16GB-32-SM",1640.00,"WH01S-NTA"
"Total DDR4-16GB-32-SM",,,,,,,,50,0,50,3470.00,,3470.00,
"DDR4-32GB-ECC26WT-DL",,,,,,,,,,,,,,
,"08/28/2025","POD-251229","SO-20251228","Neousys Technology Incorp.","Neousys Technology Incorp.","DDR4-32GB-ECC26WT-DL  DDR4-2666 1.2V 32GB ECC SO-DIMM -40~+85°C.","09/12/2025",6,0,6,780.00,"Memory Module:DDR4-32GB-ECC26WT-DL",780.00,"WH02D-NTA"
,"10/01/2025","POD-251396","SO-20251390","Navico Group Americas LLC","Neousys Technology Incorp.","DDR4-32GB-ECC26WT-DL  DDR4-2666 1.2V 32GB ECC SO-DIMM -40~+85°C.","10/29/2025",1,0,1,130.00,"Memory Module:DDR4-32GB-ECC26WT-DL",130.00,"WH01S-NTA"
"Total DDR4-32GB-ECC26WT-DL",,,,,,,,7,0,7,910.00,,910.00,
"DDR4-32GB-ECC32WT-IK",,,,,,,,,,,,,,
,"08/28/2025","POD-251229","SO-20251228","Neousys Technology Incorp.","Neousys Technology Incorp.","DDR4-32GB-ECC32WT-IK  DDR4-3200 1.2V 32GB ECC SO-DIMM, -40~+85°C.  MPN: Innodisk M4D0-BGS2Q5EM-W...","09/12/2025",2,0,2,756.00,"Memory Module:DDR4-32GB-ECC32WT-IK",756.00,"WH02D-NTA"
"Total DDR4-32GB-ECC32WT-IK",,,,,,,,2,0,2,756.00,,756.00,
"DDR4-32GB-ECC32WT-SM",,,,,,,,,,,,,,
,"08/28/2025","POD-251229","SO-20251228","Neousys Technology Incorp.","Neousys Technology Incorp.","DDR4-32GB-ECC32WT-SM  DDR4-3200 1.2V 32GB ECC SO-DIMM, -40~+95°C.  MPN: SMART STI4097SO420825MF","09/12/2025",2,0,2,590.00,"Memory Module:DDR4-32GB-ECC32WT-SM",590.00,"WH02D-NTA"
"Total DDR4-32GB-ECC32WT-SM",,,,,,,,2,0,2,590.00,,590.00,
"DDR4-32GB-ECC32WT-SP",,,,,,,,,,,,,,
,"08/28/2025","POD-251229","SO-20251228","Neousys Technology Incorp.","Neousys Technology Incorp.","DDR4-32GB-ECC32WT-SP  DDR4-3200 1.2V 32GB ECC SO-DIMM, -40~+105°C.  MPN: Silicon Power SP032GISF...","09/12/2025",2,0,2,424.00,"Memory Module:DDR4-32GB-ECC32WT-SP",424.00,"WH02D-NTA"
"Total DDR4-32GB-ECC32WT-SP",,,,,,,,2,0,2,424.00,,424.00,
"DDR4-32GB-ECC32WT-TD",,,,,,,,,,,,,,
,"08/28/2025","POD-251229","SO-20251228","Neousys Technology Incorp.","Neousys Technology Incorp.","DDR4-32GB-ECC32WT-TD  DDR4-3200 1.2V 32GB ECC SO-DIMM, -40~+95°C.  MPN: Transcend TS4GSH72V2E4-I","09/12/2025",2,0,2,700.00,"Memory Module:DDR4-32GB-ECC32WT-TD",700.00,"WH02D-NTA"
"Total DDR4-32GB-ECC32WT-TD",,,,,,,,2,0,2,700.00,,700.00,
"DDR4-32GB-WT32-SM",,,,,,,,,,,,,,
,"09/17/2025","POD-251333","SO-20251311","The Alliance","Neousys Technology Incorp.","*DDR4-32GB-WT32-SM  DDR4-3200 1.2V 32GB SO-DIMM -40~+85°C","10/01/2025",10,0,10,1660.00,"Memory Module:DDR4-32GB-WT32-SM",1660.00,"WH01S-NTA"
,"09/30/2025","POD-251377",,"Neousys Technology Incorp.","Neousys Technology Incorp.","DDR4-32GB-WT32-SM  EN,32GB PC4-3200 SODIMM UNB 2RX8 I-TEMP  MPN: SMART STI4096SO420825-SA","09/30/2025",1,0,1,166.00,"Memory Module:DDR4-32GB-WT32-SM",166.00,"WH01S-NTA"
,"09/30/2025","POD-251378","SO-20251367","Maritime Applied Physics Corporation","Neousys Technology Incorp.","*DDR4-32GB-WT32-SM  DDR4-3200 1.2V 32GB SO-DIMM -40~+85°C","10/15/2025",10,0,10,1660.00,"Memory Module:DDR4-32GB-WT32-SM",1660.00,"WH01S-NTA"
,"09/30/2025","POD-251379","SO-20251368","Maritime Applied Physics Corporation","Neousys Technology Incorp.","*DDR4-32GB-WT32-SM  DDR4-3200 1.2V 32GB SO-DIMM -40~+85°C","10/15/2025",30,0,30,4980.00,"Memory Module:DDR4-32GB-WT32-SM",4980.00,"WH01S-NTA"
"Total DDR4-32GB-WT32-SM",,,,,,,,51,0,51,8466.00,,8466.00,
"DDR5-16GB-56-SM",,,,,,,,,,,,,,
,"07/25/2025","POD-251062","SO-20251044","Neousys Technology Incorp.","Neousys Technology Incorp.","DDR5-16GB-56-SM  DDR5-5600 1.1V 16GB SO-DIMM 0~+85°C.  MPN: SMART SR2G6SO5288-SP","12/24/2025",5,0,5,550.00,"Memory Module:DDR5-16GB-56-SM",550.00,"WH01S-NTA"
,"07/25/2025","POD-251062","SO-20251044","Neousys Technology Incorp.","Neousys Technology Incorp.","DDR5-16GB-56-SM  DDR5-5600 1.1V 16GB SO-DIMM 0~+85°C.  MPN: SMART SR2G6SO5288-SP","12/24/2025",5,0,5,550.00,"Memory Module:DDR5-16GB-56-SM",550.00,"WH01S-NTA"
,"09/03/2025","POD-251259","SO-20251249","CoastIPC, Inc.","Neousys Technology Incorp.","DDR5-16GB-56-SM  DDR5-5600 1.1V 16GB SO-DIMM 0~+85°C.  MPN: SMART SR2G6SO5288-SP","10/31/2025",13,0,13,1430.00,"Memory Module:DDR5-16GB-56-SM",1430.00,"Drop Ship"
"Total DDR5-16GB-56-SM",,,,,,,,23,0,23,2530.00,,2530.00,
"DDR5-16GB-56WT-SM",,,,,,,,,,,,,,
,"09/08/2025","POD-251286","SO-20251153","AIM Intelligent Machines","Neousys Technology Incorp.","DDR5-16GB-56WT-SM  DDR5-5600 1.1V 16GB SO-DIMM -40~+85°C-WT.  MPN: SMART SRI2G6SO5288-SP","10/01/2025",14,0,14,1666.00,"Memory Module:DDR5-16GB-56WT-SM",1666.00,"WH01S-NTA"
"Total DDR5-16GB-56WT-SM",,,,,,,,14,0,14,1666.00,,1666.00,
"DDR5-32GB-48WT-SM",,,,,,,,,,,,,,
,"08/14/2025","POD-251157","SO-20251145","Near Earth Autonomy","Neousys Technology Incorp.","DDR5-32GB-48WT-SM  DDR5-4800 1.1V 32GB SO-DIMM -40~+85°C-WT.","09/03/2025",2,0,2,436.00,"Memory Module:DDR5-32GB-48WT-SM",436.00,"WH01S-NTA"
,"08/21/2025","POD-251191","SO-20251174","Near Earth Autonomy",,"DDR5-32GB-48WT-SM  DDR5-4800 1.1V 32GB SO-DIMM -40~+85°C-WT.","09/10/2025",4,0,4,872.00,"Memory Module:DDR5-32GB-48WT-SM",872.00,"WH01S-NTA"
,"09/01/2025","POD-251251","SO-20251236","US Army Corps of Engineers, ERDC-IEI","Neousys Technology Incorp.","DDR5-32GB-48WT-SM  DDR5-4800 1.1V 32GB SO-DIMM -40~+85°C-WT.","09/17/2025",4,0,4,872.00,"Memory Module:DDR5-32GB-48WT-SM",872.00,"WH01S-NTA"
,"09/04/2025","POD-251261","SO-20251248","Carnegie Robotics LLC","Neousys Technology Incorp.","DDR5-32GB-48WT-SM  DDR5-4800 1.1V 32GB SO-DIMM -40~+85°C-WT.  MPN: SMART SRI4G6SO5285-SB","10/08/2025",6,0,6,1308.00,"Memory Module:DDR5-32GB-48WT-SM",1308.00,"WH01S-NTA"
,"09/25/2025","POD-251369","SO-20251348","FEV North America Inc.","Neousys Technology Incorp.","DDR5-32GB-48WT-SM  DDR5-4800 1.1V 32GB SO-DIMM -40~+85°C-WT.","10/22/2025",2,0,2,436.00,"Memory Module:DDR5-32GB-48WT-SM",436.00,"WH01S-NTA"
"Total DDR5-32GB-48WT-SM",,,,,,,,18,0,18,3924.00,,3924.00,
"DDR5-32GB-56WT-SM",,,,,,,,,,,,,,
,"09/12/2025","POD-251308","SO-20251259","Candela Technologies Inc.","Neousys Technology Incorp.","DDR5-32GB-56WT-SM  DDR5-5600 1.1V 32GB SO-DIMM -40~+85°C-WT.  MPN: SMART SRI4G6SO5288-SP","10/01/2025",2,0,2,452.00,"Memory Module:DDR5-32GB-56WT-SM",452.00,"WH01S-NTA"
"Total DDR5-32GB-56WT-SM",,,,,,,,2,0,2,452.00,,452.00,
"DDR5-8GB-56-SM",,,,,,,,,,,,,,
,"09/30/2025","POD-251381",,"Neousys Technology Incorp.","Neousys Technology Incorp.","DDR5-8GB-56-SM  DDR5-5600 1.1V 8GB SO-DIMM 0~+85°C.  MPN: SMART SR1G6SO5168-SP","10/15/2025",3,0,3,171.00,"Memory Module:DDR5-8GB-56-SM",171.00,"WH01S-NTA"
"Total DDR5-8GB-56-SM",,,,,,,,3,0,3,171.00,,171.00,
"DDR5-8GB-56WT-SM",,,,,,,,,,,,,,
,"08/26/2025","POD-251212",,"Neousys Technology Incorp.","Neousys Technology Incorp.","DDR5-8GB-56WT-SM  DDR5-5600 1.1V 8GB SO-DIMM -40~+85°C-WT.  MPN: SMART SRI1G6SO5168-SP","09/10/2025",10,0,10,640.00,"Memory Module:DDR5-8GB-56WT-SM",640.00,"WH01S-NTA"
"Total DDR5-8GB-56WT-SM",,,,,,,,10,0,10,640.00,,640.00,
"RDDR4-64GB-ECC32-SM",,,,,,,,,,,,,,
,"08/15/2025","POD-251164","SO-20251167","Neousys Technology Incorp.","Neousys Technology Incorp.","RDDR4-64GB-ECC32-SM  DDR4-3200 1.2V 64GB ECC RDIMM 0~+85°C.  MPN: SMART ST8197RD440425-SB","10/01/2025",2,0,2,712.00,"Memory Module:RDDR4-64GB-ECC32-SM",712.00,"WH01S-NTA"
"Total RDDR4-64GB-ECC32-SM",,,,,,,,2,0,2,712.00,,712.00,
"Total Memory Module",,,,,,,,238,0,238,27261.00,,27261.00,
"MezIO",,,,,,,,,,,,,,
"MezIO-V20",,,,,,,,,,,,,,
,"09/17/2025","POD-251333","SO-20251311","The Alliance","Neousys Technology Incorp.","MezIO-V20  MezIO module with ignition control function and 1x mini-PCIe socket","10/01/2025",10,0,10,390.00,"MezIO:MezIO-V20",390.00,"WH01S-NTA"
,"09/30/2025","POD-251383",,"Neousys Technology Incorp.","Neousys Technology Incorp.","MezIO-V20  MezIO module with ignition control function and 1x mini-PCIe socket","10/15/2025",10,0,10,390.00,"MezIO:MezIO-V20",390.00,"WH01S-NTA"
"Total MezIO-V20",,,,,,,,20,0,20,780.00,,780.00,
"Miokit-D220-POC-O",,,,,,,,,,,,,,
,"09/29/2025","POD-251376","SO-20251379","CoastIPC, Inc.","Neousys Technology Incorp.","Miokit-D220-POC-O  MezIO-D220-50 kits, 8-CH isolated DI and 8-CH isolated DO, with Screw and wit...","10/17/2025",12,0,12,960.00,"MezIO:Miokit-D220-POC-O",960.00,"Drop Ship"
"Total Miokit-D220-POC-O",,,,,,,,12,0,12,960.00,,960.00,
"Miokit-D220-POC400",,,,,,,,,,,,,,
,"09/22/2025","POD-251355","SO-20251340","CoastIPC, Inc.","Neousys Technology Incorp.","Miokit-D220-POC400  MezIO-D220-50 kits, 8-CH isolated DI and 8-CH isolated DO, with POC-400 seri...","10/10/2025",8,0,8,680.00,"MezIO:Miokit-D220-POC400",680.00,"Drop Ship"
"Total Miokit-D220-POC400",,,,,,,,8,0,8,680.00,,680.00,
"Miokit-R12-POC300",,,,,,,,,,,,,,
,"09/16/2025","POD-251326","SO-20251308","CoastIPC, Inc.","Neousys Technology Incorp.","Miokit-R12-POC300  1x 2.5” SATA HDD/SSD, 4-CH isolated DI, 4-CH isolated DO, including POC-300 s...","10/03/2025",140,0,140,12180.00,"MezIO:Miokit-R12-POC300",12180.00,"Drop Ship"
"Total Miokit-R12-POC300",,,,,,,,140,0,140,12180.00,,12180.00,
"Total MezIO",,,,,,,,180,0,180,14600.00,,14600.00,
"Mounting Kit",,,,,,,,,,,,,,
"DINRAIL-31",,,,,,,,,,,,,,
,"08/25/2025","POD-251211","SO-0251204","Industrial PC, Inc.","Neousys Technology Incorp.","DINRAIL-31  DIN-Rail mounting assembly for Nuvo-5501/7501/7531 series. Industrial Computer Acces...","10/08/2025",50,0,50,800.00,"Mounting Kit:DINRAIL-31",800.00,"Drop Ship"
"Total DINRAIL-31",,,,,,,,50,0,50,800.00,,800.00,
"DINRAIL-O",,,,,,,,,,,,,,
,"08/25/2025","POD-251211","SO-0251204","Industrial PC, Inc.","Neousys Technology Incorp.","DINRAIL-O  DIN RAIL Mounting assembly for Nuvo-1000/3000/5000/7000 Series. Industrial Computer A...","10/08/2025",20,0,20,320.00,"Mounting Kit:DINRAIL-O",320.00,"Drop Ship"
,"09/08/2025","POD-251278","SO-20251260","INFLEXION POINT, LLC","Neousys Technology Incorp.","DINRAIL-O  DIN RAIL Mounting assembly for Nuvo-1000/3000/5000/7000 Series. Industrial Computer A...","09/24/2025",20,0,20,320.00,"Mounting Kit:DINRAIL-O",320.00,"WH01S-NTA"
,"09/23/2025","POD-251361","SO-20251346","CoastIPC, Inc.","Neousys Technology Incorp.","DINRAIL-O  DIN RAIL Mounting assembly for Nuvo-1000/3000/5000/7000 Series. Industrial Computer A...","10/10/2025",10,0,10,160.00,"Mounting Kit:DINRAIL-O",160.00,"Drop Ship"
"Total DINRAIL-O",,,,,,,,50,0,50,800.00,,800.00,
"Dmpbr-Nuvo9160",,,,,,,,,,,,,,
,"09/22/2025","POD-251352","SO-20251333","Neousys Technology Incorp.","Neousys Technology Incorp.","Dmpbr-Nuvo9160  Damping bracket assembly for Nuvo-9160GC.","10/08/2025",5,0,5,140.00,"Mounting Kit:Dmpbr-Nuvo9160",140.00,"WH01S-NTA"
"Total Dmpbr-Nuvo9160",,,,,,,,5,0,5,140.00,,140.00,
"Wmkit-H-Nuvo9501",,,,,,,,,,,,,,
,"08/26/2025","POD-251221","SO-20251217","Industrial PC, Inc.","Neousys Technology Incorp.","Wmkit-H-Nuvo9501  Wall mounting assembly for Nuvo-9501, horizontal type. Industrial Computer Acc...","10/08/2025",42,0,42,336.00,"Mounting Kit:Wmkit-H-Nuvo9501",336.00,"Drop Ship"
"Total Wmkit-H-Nuvo9501",,,,,,,,42,0,42,336.00,,336.00,
"Wmkit-H-POC300_400",,,,,,,,,,,,,,
,"09/09/2025","POD-251287","SO-20251265","Neousys Technology Incorp.","Neousys Technology Incorp.","Wmkit-H-POC300_400  Wall mounting assembly for POC-300/400 series, horizontal type","09/24/2025",1,0,1,6.00,"Mounting Kit:Wmkit-H-POC300_400",6.00,"WH01S-NTA"
,"09/16/2025","POD-251327","SO-20251309","CoastIPC, Inc.","Neousys Technology Incorp.","Wmkit-H-POC300_400  Wall mounting assembly for POC-300/400 series, horizontal type. Industrial C...","10/03/2025",140,0,140,840.00,"Mounting Kit:Wmkit-H-POC300_400",840.00,"Drop Ship"
,"09/17/2025","POD-251333","SO-20251311","The Alliance","Neousys Technology Incorp.","Wmkit-H-POC300_400  Wall mounting assembly for POC-300/400 series, horizontal type. Industrial C...","10/01/2025",10,0,10,60.00,"Mounting Kit:Wmkit-H-POC300_400",60.00,"WH01S-NTA"
"Total Wmkit-H-POC300_400",,,,,,,,151,0,151,906.00,,906.00,
"Wmkit-H-POC500",,,,,,,,,,,,,,
,"09/08/2025","POD-251274","SO-20251254","Neousys Technology Incorp.","Neousys Technology Incorp.","Wmkit-H-POC500  Wall mounting assembly for POC-500 series, horizontal type.","09/24/2025",10,0,10,100.00,"Mounting Kit:Wmkit-H-POC500",100.00,"WH01S-NTA"
"Total Wmkit-H-POC500",,,,,,,,10,0,10,100.00,,100.00,
"Wmkit-NRU-50",,,,,,,,,,,,,,
,"09/30/2025","POD-251385",,"Neousys Technology Incorp.","Neousys Technology Incorp.","Wmkit-NRU-50  Wall mounting kit for NRU-50 series, including wall mounting brackets and screws.","10/15/2025",3,0,3,30.00,"Mounting Kit:Wmkit-NRU-50",30.00,"WH01S-NTA"
"Total Wmkit-NRU-50",,,,,,,,3,0,3,30.00,,30.00,
"Wmkit-POC465AWP",,,,,,,,,,,,,,
,"09/30/2025","POD-251378","SO-20251367","Maritime Applied Physics Corporation","Neousys Technology Incorp.","Wmkit-POC465AWP  Wall mounting assembly for POC-465AWP, include wall mounting module and Screw. ...","10/15/2025",10,0,10,100.00,"Mounting Kit:Wmkit-POC465AWP",100.00,"WH01S-NTA"
,"09/30/2025","POD-251379","SO-20251368","Maritime Applied Physics Corporation","Neousys Technology Incorp.","Wmkit-POC465AWP  Wall mounting assembly for POC-465AWP, include wall mounting module and Screw. ...","10/15/2025",30,0,30,300.00,"Mounting Kit:Wmkit-POC465AWP",300.00,"WH01S-NTA"
"Total Wmkit-POC465AWP",,,,,,,,40,0,40,400.00,,400.00,
"Wmkit-V-POC300_400",,,,,,,,,,,,,,
,"09/16/2025","POD-251327","SO-20251309","CoastIPC, Inc.","Neousys Technology Incorp.","Wmkit-V-POC300_400  Wall mounting assembly for POC-300/400 series, vertical type. Industrial Com...","10/03/2025",140,0,140,840.00,"Mounting Kit:Wmkit-V-POC300_400",840.00,"Drop Ship"
,"09/18/2025","POD-251340",,"Neousys Technology Incorp.","Neousys Technology Incorp.","Wmkit-V-POC300_400  Wall mounting assembly for POC-300/400 series, vertical type","10/15/2025",6,0,6,36.00,"Mounting Kit:Wmkit-V-POC300_400",36.00,"WH01S-NTA"
"Total Wmkit-V-POC300_400",,,,,,,,146,0,146,876.00,,876.00,
"Wmkit-V-POC500",,,,,,,,,,,,,,
,"09/18/2025","POD-251337","SO-20251314","Neousys Technology Incorp.","Neousys Technology Incorp.","Wmkit-V-POC500  Wall mounting assembly for POC-500 series, vertical type.","10/08/2025",4,0,4,24.00,"Mounting Kit:Wmkit-V-POC500",24.00,"WH01S-NTA"
"Total Wmkit-V-POC500",,,,,,,,4,0,4,24.00,,24.00,
"Total Mounting Kit",,,,,,,,501,0,501,4412.00,,4412.00,
"NRU Series",,,,,,,,,,,,,,
"AC-IMX390-H120",,,,,,,,,,,,,,
,"09/30/2025","POD-251382",,"Neousys Technology Incorp.","Neousys Technology Incorp.","AC-IMX390-H120  Sony IMX390 CMOS sensor camera; 1920x1080 @30fps; LFM; HFOV 120.6°; IP67+IP69K; ...","10/15/2025",2,0,2,824.00,"NRU Series:AC-IMX390-H120",824.00,"WH01S-NTA"
"Total AC-IMX390-H120",,,,,,,,2,0,2,824.00,,824.00,
"AC-IMX390-H190",,,,,,,,,,,,,,
,"08/29/2025","POD-251238","SO-20251222","Scout AI Inc","Neousys Technology Incorp.","AC-IMX390-H190  Sony IMX390 CMOS sensor camera; 1920x1080 @30fps; LFM; HFOV 186°; IP67+IP69K; -4...","09/17/2025",12,0,12,4944.00,"NRU Series:AC-IMX390-H190",4944.00,"WH01S-NTA"
,"10/01/2025","POD-251395","SO-20251385","Scout AI Inc","Neousys Technology Incorp.","AC-IMX390-H190  Sony IMX390 CMOS sensor camera; 1920x1080 @30fps; LFM; HFOV 186°; IP67+IP69K; -4...","10/22/2025",12,0,12,4944.00,"NRU Series:AC-IMX390-H190",4944.00,"WH01S-NTA"
"Total AC-IMX390-H190",,,,,,,,24,0,24,9888.00,,9888.00,
"AC-IMX390-H60",,,,,,,,,,,,,,
,"09/30/2025","POD-251382",,"Neousys Technology Incorp.","Neousys Technology Incorp.","AC-IMX390-H60  Sony IMX390 CMOS sensor camera; 1920x1080 @30fps; LFM; HFOV 63.9°; IP67+IP69K; -4...","10/15/2025",1,0,1,412.00,"NRU Series:AC-IMX390-H60",412.00,"WH01S-NTA"
"Total AC-IMX390-H60",,,,,,,,1,0,1,412.00,,412.00,
"AC-IMX490-H120",,,,,,,,,,,,,,
,"08/29/2025","POD-251238","SO-20251222","Scout AI Inc","Neousys Technology Incorp.","AC-IMX490-H120  GMSL2 5.36MP CMOS 1/1.55"" Camera, Sensor: Sony IMX490, ISP: GeoSemi GW5300, 2880...","09/17/2025",1,0,1,600.00,"NRU Series:AC-IMX490-H120",600.00,"WH01S-NTA"
"Total AC-IMX490-H120",,,,,,,,1,0,1,600.00,,600.00,
"AC-IMX490-H60",,,,,,,,,,,,,,
,"08/29/2025","POD-251238","SO-20251222","Scout AI Inc","Neousys Technology Incorp.","AC-IMX490-H60  GMSL2 5.36MP CMOS 1/1.55"" Camera, Sensor: Sony IMX490, ISP: GeoSemi GW5300, 2880H...","09/17/2025",1,0,1,600.00,"NRU Series:AC-IMX490-H60",600.00,"WH01S-NTA"
"Total AC-IMX490-H60",,,,,,,,1,0,1,600.00,,600.00,
"AC-ISX031-H60",,,,,,,,,,,,,,
,"09/25/2025","POD-251368",,"Neousys Technology Incorp.","Neousys Technology Incorp.","AC-ISX031-H60  GMSL2 2.95MP CMOS 1/2.42"" Camera, Sensor: Sony ISX031 in-built ISP, H63.9°, TV li...","10/08/2025",3,0,3,1092.00,"NRU Series:AC-ISX031-H60",1092.00,"WH01S-NTA"
"Total AC-ISX031-H60",,,,,,,,3,0,3,1092.00,,1092.00,
"Cblkit-BP-NRU-230V-AWP",,,,,,,,,,,,,,
,"08/06/2025","POD-251122","SO-20251113","Applied Intuition, Inc.","Neousys Technology Incorp.","Cblkit-BP-NRU-230V-AWP  NRU-230V-AWP back panel cable kit, including 8x Cbl-FAKRA-ZFM-ZFM-12M.","10/08/2025",10,0,10,2240.00,"NRU Series:Cblkit-BP-NRU-230V-AWP",2240.00,"WH01S-NTA"
,"08/06/2025","POD-251123","SO-20251113","Applied Intuition, Inc.","Neousys Technology Incorp.","Cblkit-BP-NRU-230V-AWP  NRU-230V-AWP back panel cable kit, including 8x Cbl-FAKRA-ZFM-ZFM-12M.","10/15/2025",15,0,15,3360.00,"NRU Series:Cblkit-BP-NRU-230V-AWP",3360.00,"WH01S-NTA"
,"08/08/2025","POD-251139","SO-20251126","Sanctuary Cognitive Systems Corporation","Neousys Technology Incorp.","Cblkit-BP-NRU-230V-AWP  NRU-230V-AWP back panel cable kit, including 8x Cbl-FAKRA-ZFM-ZFM-12M. I...","09/03/2025",2,0,2,448.00,"NRU Series:Cblkit-BP-NRU-230V-AWP",448.00,"WH01S-NTA"
